DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2016,14.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2017,14.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2018,14.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2019,14.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2020,15.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2021,15.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,GE,2022,15.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2011,17.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2012,17.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2013,18.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2014,18.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2015,18.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2016,19.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2017,19.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2018,20.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2019,20.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2020,21.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2021,21.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HR,2022,22.5,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2011,16.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2012,16.9,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2013,17.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2014,17.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2015,17.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2016,18.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2017,18.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2018,18.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2019,19.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2020,19.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2021,20.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,HU,2022,20.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2011,11.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2012,11.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2013,12.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2014,12.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2015,12.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2016,13.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2017,13.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2018,13.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2019,14.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2020,14.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2021,14.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IE,2022,15.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IS,2011,12.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IS,2012,12.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IS,2013,12.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IS,2014,13.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,IS,2015,13.5,
