DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2014,442883888,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2015,443666812,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2016,444802830,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2017,445534430,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2018,446208557,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2019,446446444,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2020,447319916,ep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2021,447073916,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU27_2020,2022,446735291,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU28,2013,505163008,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU28,2014,507235091,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU28,2015,508520205,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU28,2016,510181874,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU28,2017,511378572,b
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU28,2018,512482133,p
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,EU28,2019,513093556,bep
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2013,5426674,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2014,5451270,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2015,5471753,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2016,5487308,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2017,5503297,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2018,5513130,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2019,5517919,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2020,5525292,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2021,5533793,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FI,2022,5548241,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FR,2013,65600350,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,TOTAL,T,FR,2014,66165980,b
